batch_id,recipient_id,status,sent_at,opened_at,replied_at,bounced_at
32,630,sent,2026-05-28T16:15:18.502596,,,
32,631,sent,2026-05-28T16:17:20.296365,,,
32,632,sent,2026-05-28T16:19:21.438591,,,
32,633,sent,2026-05-28T16:21:22.588885,,,
32,634,sent,2026-05-28T16:23:23.772577,,,
32,635,sent,2026-05-28T16:25:24.970368,,,
32,636,sent,2026-05-28T16:27:26.720962,,,
32,637,sent,2026-05-28T16:29:27.856362,,,
32,638,sent,2026-05-28T16:31:29.074607,,,
32,29,sent,2026-05-28T12:44:30.885398,,,
32,640,sent,2026-05-28T16:33:30.365153,,,
32,641,sent,2026-05-28T16:35:31.513605,,,
32,642,sent,2026-05-28T16:37:32.728824,,,
32,643,sent,2026-05-28T16:39:33.965789,,,
32,644,sent,2026-05-28T16:41:35.126710,,,
32,645,sent,2026-05-28T16:47:12.984800,,,
32,646,sent,2026-05-28T16:51:02.993596,,,
32,647,sent,2026-05-28T16:53:04.275269,,,
32,648,sent,2026-05-28T16:55:05.404609,,,
32,649,sent,2026-05-28T16:57:06.528922,,,
32,650,sent,2026-05-28T16:59:19.742178,,,
32,651,failed,,,,
32,652,failed,,,,
32,653,sent,2026-05-28T17:06:42.906089,,,
32,654,sent,2026-05-28T17:08:44.607737,,,
32,655,sent,2026-05-28T17:10:45.746962,,,
32,656,sent,2026-05-28T17:12:46.948373,,,
32,657,sent,2026-05-28T17:14:48.521445,,,
32,658,sent,2026-05-28T17:16:49.642606,,,
32,659,sent,2026-05-28T17:19:59.873796,,,
32,660,SENT,2026-05-28T17:31:17.407083,,,
32,661,SENT,2026-05-28T17:31:49.949548,,,
32,662,SENT,2026-05-28T17:32:21.179548,,,
32,663,SENT,2026-05-28T17:32:52.316879,,,
32,664,SENT,2026-05-28T17:33:24.268975,,,
32,665,SENT,2026-05-28T17:33:56.296504,,,
32,666,SENT,2026-05-28T17:34:28.315705,,,
32,667,SENT,2026-05-28T17:35:00.295032,,,
32,668,SENT,2026-05-28T17:35:31.504132,,,
32,669,SENT,2026-05-28T17:36:02.639322,,,
32,670,SENT,2026-05-28T17:36:34.572310,,,
32,671,SENT,2026-05-28T17:37:07.101766,,,
32,672,sent,2026-05-28T17:45:43.665450,,,
32,673,sent,2026-05-28T17:48:18.211455,,,
32,674,sent,2026-05-28T17:50:19.556037,,,
32,675,sent,2026-05-28T18:21:10.493885,,,
32,676,sent,2026-05-28T18:23:12.512882,,,
32,677,sent,2026-05-28T18:25:13.791211,,,
32,678,sent,2026-05-28T18:27:14.922685,,,
32,679,sent,2026-05-28T18:29:16.035554,,,
33,680,sent,2026-05-28T12:41:23.044302,,,
33,681,sent,2026-05-28T12:43:26.354835,,,
33,682,sent,2026-05-28T12:45:32.481751,,,
33,683,sent,2026-05-28T12:47:37.699300,,,
33,684,sent,2026-05-28T12:49:42.527146,,,
33,685,sent,2026-05-28T12:51:46.113181,,,
33,686,sent,2026-05-28T12:53:51.240982,,,
33,687,sent,2026-05-28T12:55:55.827305,,,
33,688,sent,2026-05-28T13:03:15.502978,,,
33,689,sent,2026-05-28T13:05:20.108252,,,
33,690,sent,2026-05-28T13:07:22.644859,,,
33,691,sent,2026-05-28T13:09:26.092730,,,
33,692,sent,2026-05-28T13:11:28.898903,,,
